Source Table,Source Column,Transformation / Mapping Rules,Field,Array Field
provider_drname,nationalid,nationalid,service_provider_id,
provider_drname,dr_no_ext,dr_no_ext,source_service_provider_id,
provider_drname,dr_fname,dr_fname,name_first_name,
provider_drname,dr_iname,dr_iname,name_middle_name,
provider_drname,dr_lname,dr_lname,name_last_name,
provider_drname,drsal,drsal,name_prefix_name,
provider_drname,drsuffix,drsuffix,name_suffix_name,
provider_drname,"drsal, 
dr_fname ,
dr_iname, 
dr_lname,
drsuffix","trim(concat(coalesce(drsal,"" ""),coalesce(dr_fname ,"" ""),coalesce(dr_iname,"" ""),coalesce(dr_lname,"" ""),coalesce(drsuffix,"" ""))",alternate_name_name,
provider_address1,,"lit(""physical"")",address_address_type,
provider_addr_arr,txt," when(
                        col(""addr_arr_df__txt"").isin(
                            ""MFC Home Address"",              
                            ""Home""                          
                        ),
                        lit(""home"")
                    ).when(
                        col(""addr_arr_df__txt"").isin(
                            ""MFC Part Time Clinic"",
                            ""MFC Part Time Clinic Bill"",
                            ""MFC W-9 Address"",
                            ""MFC Hospitalist Address  "",
                            ""MFC Mailing Address"",
                            ""MFC Primary Office Address"",
                            ""MFC Previous Address"",
                            ""MFC Previous Billing Address"",
                            ""MFC Credentialing Address"",
                            ""MedStar Inpatient Term Address"",
                            ""Prov Group Contract Address"",
                            ""MFC Urgent Care Part Time"",
                            ""MedStar Inpatient Location"",
                            ""MFC Practice Location"",
                            ""MFC Telemedicine Address"",
                            ""Provider Group Previous Add"",
                            ""Additional Office"",
                            ""Primary"",
                            ""Prov Grp Mailing Addr"",
                            ""Prov Grp Addr"",
                            ""Primary Organization"",
                        ),
                        lit(""work"")
                    ).when(
                        col(""addr_arr_df__txt"").isin(
                            ""MFC Billing Address"",
                            ""MedStar Inpatient Billing"",
                            ""PHO-Fourth Billing Address"",
                            ""Billing"",
                            ""Mailing"",
                            ""Prov Grp Bill Addr"",
                            ""Prov Grp IRS Addr""
                        ),
                        lit(""billing"").alias(""address_use"")
                    ).when(
                        col(""addr_arr_df__txt"").isin(
                            ""UNSPECIFIED""                            
                        ),
                        lit(""temp"")
                    ).when(
                        col(""addr_arr_df__txt"").isin(
                            ""MFC Do Not Print"",
                            ""Previous Billing Address"",
                            ""Previous Billing Org"",
                            ""Previous Office Address"",
                            ""Previous"",
                        ),
                        lit(""old"")
                    ).otherwise(
                        lit(None)
                    )",address_address_use,
provider_address1,addr,,address_address_line_1,
provider_address1,addr2,,address_address_line_2,
provider_address1,city,,address_city,
provider_address1,county,,address_county,
provider_address1,state,,address_state_province,
provider_address1,zip,,address_postal_code,
provider_address1,zip_extension,,address_zip_code_extension,
provider_address1,nation,,address_country,
provider_address1,longitude,,address_longitude,
provider_address1,latitude,,address_latitude,
provider_address1,effdate,,address_eff_date,
provider_address1,termdate,,address_exp_date,
,,,address_confidential_status,
provider_address1,loc_code,,address_locality_code,
"provider_address1
provider_insur","txt
cd
addr
addr2
city
county
state
zip
zip_extension
nation
longitude
latitude
effdate
termdate
handicap","sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    lit(""physical"").alias(""address_type""), # default address_type is physical and there is no PO or BOX in address description to map as postal
                    when(
                        col(""addr_arr_df__txt"").isin(
                            ""MFC Home Address"",              
                            ""Home""                          
                        ),
                        lit(""home"")
                    ).when(
                        col(""addr_arr_df__txt"").isin(
                            ""MFC Part Time Clinic"",
                            ""MFC Part Time Clinic Bill"",
                            ""MFC W-9 Address"",
                            ""MFC Hospitalist Address  "",
                            ""MFC Mailing Address"",
                            ""MFC Primary Office Address"",
                            ""MFC Previous Address"",
                            ""MFC Previous Billing Address"",
                            ""MFC Credentialing Address"",
                            ""MedStar Inpatient Term Address"",
                            ""Prov Group Contract Address"",
                            ""MFC Urgent Care Part Time"",
                            ""MedStar Inpatient Location"",
                            ""MFC Practice Location"",
                            ""MFC Telemedicine Address"",
                            ""Provider Group Previous Add"",
                            ""Additional Office"",
                            ""Primary"",
                            ""Prov Grp Mailing Addr"",
                            ""Prov Grp Addr"",
                            ""Primary Organization"",
                        ),
                        lit(""work"")
                    ).when(
                        col(""addr_arr_df__txt"").isin(
                            ""MFC Billing Address"",
                            ""MedStar Inpatient Billing"",
                            ""PHO-Fourth Billing Address"",
                            ""Billing"",
                            ""Mailing"",
                            ""Prov Grp Bill Addr"",
                            ""Prov Grp IRS Addr""
                        ),
                        lit(""billing"").alias(""address_use"")
                    ).when(
                        col(""addr_arr_df__txt"").isin(
                            ""UNSPECIFIED""                            
                        ),
                        lit(""temp"")
                    ).when(
                        col(""addr_arr_df__txt"").isin(
                            ""MFC Do Not Print"",
                            ""Previous Billing Address"",
                            ""Previous Billing Org"",
                            ""Previous Office Address"",
                            ""Previous"",
                        ),
                        lit(""old"")
                    ).otherwise(
                        lit(None)
                    ).alias(""address_use""),
                    col(""address1_df__addr"").alias(""address_line_1""),
                    col(""address1_df__addr2"").alias(""address_line_2""),
                    col(""address1_df__city"").alias(""city""),
                    col(""address1_df__county"").alias(""county""),
                    col(""address1_df__state"").alias(""state_province""),
                    col(""address1_df__zip"").alias(""postal_code""),
                    col(""address1_df__zip_extension"").alias(""zip_code_extension""),
                    col(""address1_df__nation"").alias(""country""),
                    col(""address1_df__longitude"").alias(""longitude""),
                    col(""address1_df__latitude"").alias(""latitude""),
                    col(""address1_df__effdate"").alias(""eff_date""),
                    col(""address1_df__termdate"").alias(""exp_date""),
                    col(""address1_df__status"").alias(""confidential_status""),
                    col(""address1_df__handicap"").alias(""is_handicap_accessible""),
                    col(""address1_df__loc_code"").alias(""locality_code""),
                    col(""addr_arr_df__cd"").alias(""address_sch_type""),
                    when(col(""address1_df__udf3"") == 'Y',lit(True))
                        .when(col(""address1_df__udf3"") == 'N',lit(False))
                        .otherwise(lit(None)).alias(""print_in_directory_ind"")
                )
            ), asc = False
        )
Note: generated_address_reference_id logic available in 'Reference_ID_logic' Tab

Adding insurance addresses:
    sort_array(
        collect_set(
            struct(
                lit(3).alias(""address_sort""),
                concat(
                    coalesce(col(""dr_plan1_df__dr_id""), lit("""")),
                    lit(""_""),
                    coalesce(col(""dr_plan1_df__plan_cd""), lit("""")),
                    coalesce(col(""dr_plan1_df__vstart"").cast(""string""), lit("""")),
                    coalesce(col(""dr_plan1_df__eend"").cast(""string""), lit(""""))
                ).alias(""reference_id""),
                lit(""Insurance"").alias(""address_type""),
                lit(""Insurance"").alias(""address_use""),
                col(""insur_df__addr"").alias(""address_line_1""),
                col(""insur_df__addr2"").alias(""address_line_2""),
                col(""insur_df__city"").alias(""city""),
                lit(None).alias(""county""),
                col(""insur_df__state"").alias(""state_province""),
                substring(col(""insur_df__zip""), 1, 5).alias(""postal_code""),
                substring(col(""insur_df__zip""), 7, 4).alias(""zip_code_extension""),
                col(""insur_df__nation"").alias(""country""),
                col(""insur_df__longitude"").alias(""longitude""),
                col(""insur_df__latitude"").alias(""latitude""),
                lit(None).alias(""eff_date""),
                lit(None).alias(""exp_date""),
                lit(None).alias(""confidential_status""),
                lit(None).alias(""is_handicap_accessible""),
                lit(None).alias(""locality_code""),
                lit(None).alias(""address_sch_type""),
                lit(None).alias(""print_in_directory_ind"")
            )
        ), asc = True
    ).alias(""other_addresses_insur"")
",other_addresses,"reference_id
address_type
address_attn_care_of
address_use
address_line_1
address_line_2
address_line_3
entity_type
quadrant
ward
city
county
state_province
postal_code
zip_code_extension
country
longitude
latitude
eff_date
exp_date
confidential_status
validation_status
address_source
is_handicap_accessible
locality_code
print_in_directory_ind
"
provider_address1,phone,,primary_phone_number,
,,,secondary_phone_number,
provider_address1,,"sort_array(
            collect_list(
                struct(
                    col(""address_reference_id"").alias(""reference_id""),
                    lit(""phone"").alias(""phone_type""),
                    col(""address1_df__phone"").alias(""number""),
                    lit(None).alias(""country_code""),
                    lit(None).alias(""area_code""),
                    col(""address1_df__extension"").alias(""extension""),
                    lit(None).alias(""confidential_status"")
                )
            ), asc = False
    )

Note: generated_address_reference_id logic available in 'Reference_ID_logic' Tab",other_phones,"reference_id
phone_type
number
country_code
area_code
extension
confidential_status
source
"
provider_drname,email,,email_email,
provider_drname,"email, appmodule_email","sort_array(
        concat(
            collect_list(
                struct(
                    lit(None).alias(""reference_id""),            
                    lit(""URL"").alias(""email_type""),
                    col(""drname_df__email"").alias(""email""),
                    lit(None).alias(""confidential_status"")
                    )
                ),
            collect_list(
                struct(
                    lit(None).alias(""reference_id""),            
                    lit(""App_Module"").alias(""email_type""),
                    col(""drname_df__appmodule_email"").alias(""email""),
                    lit(None).alias(""confidential_status"")
                )
            )
        ))
",other_emails,"reference_id
email_type
email
confidential_status
validation_status
source
"
